Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
6/27/2007,0.7315,0.733,0.7266,0.7284,51441000000,-0.0064,-0.00190376,1506.34,6184.2,Bull
6/28/2007,0.7284,0.7403,0.7268,0.7388,67087000000,0.0135,0.00615695,1505.71,6265.6,Bull
6/29/2007,0.7388,0.7452,0.7384,0.7417,66850000000,0.0068,0.001701392,1503.35,6274.9,Bull
7/1/2007,0.7417,0.7439,0.7414,0.7433,4498000000,0.0025,0.000935854,1503.35,6274.9,Bear
7/2/2007,0.7435,0.7461,0.7406,0.743,50575000000,-0.0055,-0.000175319,1519.43,6263.3,Bull
7/3/2007,0.743,0.747,0.7419,0.7433,48956000000,0.0051,0.000175319,1524.87,6299,Bear
7/4/2007,0.7432,0.7475,0.7394,0.7411,56165000000,-0.0081,-0.00128732,1524.87,6298.6,Bull
7/5/2007,0.7409,0.7472,0.7405,0.7456,50367000000,0.0067,0.002629086,1525.4,6362.3,Bull
7/6/2007,0.7456,0.753,0.7448,0.7519,49956000000,0.0082,0.003654185,1530.44,6351.1,Bear
7/8/2007,0.7519,0.7523,0.7504,0.7514,4164000000,-0.0019,-0.000288894,1530.44,6351.1,Bear
