Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
5/8/2007,1.8577,1.8688,1.8513,1.8659,2.18E+12,0.0175,0.001912784,1507.72,6550.4,Bear
5/9/2007,1.8659,1.8729,1.8579,1.8582,2.16E+12,-0.015,-0.001795909,1512.58,6549.6,Bull
5/10/2007,1.8582,1.8862,1.853,1.8846,2.03E+12,0.0332,0.006126731,1491.47,6524.1,Bull
5/11/2007,1.8846,1.8998,1.8822,1.8941,7.21E+11,0.0176,0.002183717,1505.85,6565.7,Bull
5/13/2007,1.8944,1.8995,1.8944,1.8989,56711000000,0.0051,0.00109919,1505.85,6565.7,Bear
5/14/2007,1.8989,1.8994,1.8754,1.8777,1.02E+12,-0.024,-0.004875888,1503.15,6555.5,Bull
5/15/2007,1.8777,1.8896,1.8744,1.8859,1.03E+12,0.0152,0.001892454,1501.19,6568.6,Bear
5/16/2007,1.8859,1.9024,1.8774,1.8819,1.02E+12,-0.025,-0.000922118,1514.14,6559.5,Bull
5/17/2007,1.8819,1.8961,1.88065,1.8945,8.34E+11,0.01545,0.002898067,1512.75,6579.3,Bear
5/18/2007,1.8945,1.8954,1.86995,1.8774,6.55E+11,-0.02545,-0.003937796,1522.75,6640.9,Bear
5/20/2007,1.8794,1.8794,1.875,1.8761,51583000000,-0.0044,-0.00030083,1522.75,6640.9,Bull
5/21/2007,1.8761,1.8886,1.8631,1.8846,6.60E+11,0.0255,0.001963203,1525.1,6636.8,Bear
5/22/2007,1.8846,1.8883,1.8739,1.8786,8.01E+11,-0.0144,-0.001384869,1524.12,6606.6,Bear
5/23/2007,1.8786,1.8858,1.8651,1.8693,7.70E+11,-0.0207,-0.002155312,1522.28,6616.4,Bull
5/24/2007,1.8693,1.8772,1.8665,1.874,7.05E+11,0.0107,0.001090581,1507.51,6565.4,Bear
5/25/2007,1.874,1.8748,1.8529,1.8583,5.99E+11,-0.0219,-0.00365376,1515.73,6570.5,Bull
5/27/2007,1.8591,1.8599,1.8559,1.8591,55994000000,0.004,0.000186924,1515.73,6570.5,Bear
5/28/2007,1.8592,1.8642,1.8564,1.8584,4.39E+11,-0.0078,-0.000163554,1515.73,6570.5,Bull
5/29/2007,1.8584,1.8869,1.85775,1.8811,8.64E+11,0.02915,0.005272687,1518.11,6606.5,Bear
5/30/2007,1.8811,1.8855,1.86545,1.8709,8.08E+11,-0.02005,-0.002361308,1530.23,6602.1,Bear
5/31/2007,1.8709,1.8711,1.85585,1.8666,7.42E+11,-0.01525,-0.000999313,1530.62,6621.4,Bull
6/1/2007,1.8666,1.8859,1.8609,1.8814,6.12E+11,0.025,0.003429878,1536.34,6676.7,Bull
6/3/2007,1.882,1.884,1.882,1.8836,47611000000,0.002,0.000507542,1536.34,6676.7,Bear
6/4/2007,1.8836,1.8879,1.8637,1.8711,5.51E+11,-0.0242,-0.002891683,1539.18,6664.1,Bear
6/5/2007,1.8711,1.8772,1.8586,1.8606,6.43E+11,-0.0186,-0.002443982,1530.95,6632.8,Bear
6/6/2007,1.8606,1.8647,1.8527,1.8571,6.27E+11,-0.012,-0.000817727,1517.38,6522.7,Bear
6/7/2007,1.8571,1.8576,1.8338,1.8431,1.37E+12,-0.0238,-0.003286391,1490.72,6505.1,Bear
6/8/2007,1.8431,1.8484,1.8365,1.8404,4.62E+11,-0.0119,-0.000636675,1507.67,6505.1,Bear
6/10/2007,1.8398,1.8398,1.8379,1.83805,43416000000,-0.0019,-0.000554903,1507.67,6505.1,Bull
6/11/2007,1.83805,1.8468,1.838,1.84025,6.54E+11,0.0088,0.000519505,1509.12,6567.5,Bear
6/12/2007,1.84025,1.845,1.8315,1.8342,6.48E+11,-0.0135,-0.001430137,1493,6520.4,Bull
6/13/2007,1.8342,1.85,1.8332,1.84385,6.45E+11,0.0168,0.002278899,1515.67,6559.6,Bull
6/14/2007,1.84385,1.8546,1.8419,1.85115,6.18E+11,0.0127,0.001716024,1522.97,6649.9,Bear
6/15/2007,1.85115,1.8559,1.84695,1.8501,5.78E+11,-0.00895,-0.000246408,1532.91,6732.4,Bull
6/17/2007,1.85005,1.8529,1.85005,1.8518,50044000000,0.00285,0.000398877,1532.91,6732.4,Bear
6/18/2007,1.8518,1.85185,1.83685,1.84005,6.55E+11,-0.015,-0.002764455,1531.05,6703.5,Bull
6/19/2007,1.84005,1.8458,1.83355,1.84465,5.80E+11,0.01225,0.001084352,1533.7,6650.2,Bull
6/20/2007,1.84465,1.8472,1.8407,1.8462,6.32E+11,0.0065,0.00036477,1512.84,6649.3,Bear
6/21/2007,1.84615,1.8467,1.8261,1.8278,6.32E+11,-0.0206,-0.004350074,1522.19,6596,Bear
6/22/2007,1.8278,1.8311,1.8126,1.8187,6.10E+11,-0.0185,-0.002167606,1502.56,6567.4,Bull
6/24/2007,1.81735,1.8202,1.8167,1.81995,51107000000,0.0035,0.00029839,1502.56,6567.4,Bull
6/25/2007,1.81995,1.82555,1.81605,1.82525,6.43E+11,0.0095,0.0012629,1497.74,6588.4,Bear
6/26/2007,1.82525,1.8263,1.8185,1.82105,6.89E+11,-0.0078,-0.001000487,1492.89,6559.3,Bear
6/27/2007,1.82105,1.82395,1.814,1.8173,8.32E+11,-0.00995,-0.000895244,1506.34,6527.6,Bull
6/28/2007,1.8173,1.8298,1.8074,1.8274,1.97E+12,0.0224,0.002406994,1505.71,6571.3,Bull
6/29/2007,1.8274,1.8501,1.8271,1.8499,1.43E+12,0.023,0.005314632,1503.35,6607.9,Bear
7/1/2007,1.8487,1.8488,1.846,1.8474,1.02E+11,-0.0028,-0.000587313,1503.35,6607.9,Bear
7/2/2007,1.8474,1.84875,1.8384,1.8428,1.94E+12,-0.01035,-0.001082736,1519.43,6590.6,Bull
7/3/2007,1.8428,1.8479,1.8423,1.8433,1.99E+12,0.0056,0.00011782,1524.87,6639.8,Bear
7/4/2007,1.8433,1.8486,1.8325,1.83515,1.88E+12,-0.0161,-0.001924455,1524.87,6673.1,Bull
7/5/2007,1.83515,1.8409,1.83305,1.8372,1.87E+12,0.00785,0.000484869,1525.4,6635.2,Bull
7/6/2007,1.8372,1.854,1.8354,1.8506,1.63E+12,0.0186,0.003156121,1530.44,6690.1,Bear
7/8/2007,1.8506,1.85075,1.8491,1.8501,1.40E+11,-0.00165,-0.000117355,1530.44,6690.1,Bear
7/9/2007,1.8501,1.85215,1.83675,1.8423,2.28E+12,-0.0154,-0.001834851,1531.85,6712.7,Bull
7/10/2007,1.8423,1.8473,1.8365,1.84465,2.10E+12,0.0108,0.000553624,1510.12,6630.9,Bear
7/11/2007,1.84465,1.84795,1.8308,1.83335,2.11E+12,-0.01715,-0.002668593,1518.76,6615.1,Bull
7/12/2007,1.83335,1.8468,1.833,1.8432,1.80E+12,0.0138,0.002327079,1547.7,6697.7,Bear
7/13/2007,1.8432,1.8456,1.8339,1.8382,1.64E+12,-0.0117,-0.0011797,1552.5,6716.7,Bear
7/15/2007,1.8381,1.8386,1.8363,1.83775,1.45E+11,-0.0023,-0.00010633,1552.5,6716.7,Bear
7/16/2007,1.83775,1.83815,1.8174,1.81995,1.75E+12,-0.02075,-0.004226975,1549.52,6697.7,Bull
7/17/2007,1.81995,1.8329,1.8182,1.82495,1.93E+12,0.0147,0.001191513,1549.37,6659.1,Bull
7/18/2007,1.82495,1.84405,1.81885,1.84225,1.95E+12,0.0252,0.004097595,1546.17,6567.1,Bull
7/19/2007,1.84225,1.8518,1.8383,1.848,1.79E+12,0.0135,0.001353402,1553.08,6640.2,Bull
7/20/2007,1.848,1.85985,1.8468,1.8577,1.76E+12,0.01305,0.002273614,1534.1,6585.2,Bull
7/22/2007,1.859,1.8597,1.85795,1.8589,1.28E+11,0.00175,0.000280446,1534.1,6585.2,Bear
7/23/2007,1.8589,1.8589,1.848,1.8491,1.94E+12,-0.0109,-0.002295629,1541.57,6624.4,Bear
7/24/2007,1.8491,1.8536,1.8384,1.8407,2.01E+12,-0.0152,-0.001977386,1511.04,6498.7,Bull
